target_id,split,family,scenario_id,variant_scope,metric,extractor,prediction_column,target_low,target_high,target_value,score_direction,weight,blocking,critical,source_label,source_url,source_status,scored,target_scope,type_id,baseline_scenario_id,window_start,window_end,notes
lab_accounting_residual,lab,accounting,all,all,max_accounting_abs_residual,validation_metric,value,0.0,0.000001,0.0,range,2.0,true,true,Internal accounting identity,,internal_mechanism,true,aggregate,,baseline,,,Household and goods-market accounting residual must stay at tolerance.
lab_transfer_impact_mpc,lab,transfer_behavior,transfer_shock,all,transfer_impact_mpc,validation_metric,value,0.20,0.85,0.45,range,1.5,true,true,Public transfer-spending bridge,,verified_public,true,aggregate,,baseline,1,1,Aggregate transfer impact MPC.
lab_low_liquidity_mpc,lab,transfer_behavior,transfer_shock,all,low_liquidity_impact_mpc,validation_metric,value,0.35,1.00,0.50,range,1.2,true,true,Public low-liquidity spending bridge,,verified_public,true,aggregate,,baseline,1,1,Low-liquidity household impact MPC.
lab_high_liquidity_mpc,lab,transfer_behavior,transfer_shock,all,high_liquidity_impact_mpc,validation_metric,value,0.03,0.55,0.10,range,1.2,true,true,Public high-liquidity spending bridge,,verified_public,true,aggregate,,baseline,1,1,High-liquidity household impact MPC.
lab_liquidity_mpc_gradient,lab,heterogeneity,transfer_shock,all,liquidity_mpc_gradient,validation_metric,value,0.15,1.00,0.40,range,1.4,true,true,HANK-style liquidity gradient,,internal_mechanism,true,aggregate,,baseline,1,1,Low-liquidity MPC minus high-liquidity MPC.
lab_income_mpc_gradient,lab,heterogeneity,transfer_shock,all,income_mpc_gradient,validation_metric,value,0.05,0.80,0.25,range,1.0,true,true,HANK-style income gradient,,internal_mechanism,true,aggregate,,baseline,1,1,Low-income MPC minus high-income MPC.
lab_rate_hike_consumption,lab,monetary_irf,rate_hike,all,rate_hike_mean_consumption_delta_6p,validation_metric,value,-inf,-0.000001,-100.0,range,1.3,true,true,Internal monetary shock sign constraint,,empirical_shape,true,aggregate,,baseline,1,6,Rate hike lowers consumption over first six periods.
lab_rate_hike_output,lab,monetary_irf,rate_hike,all,rate_hike_mean_output_gap_delta_6p,validation_metric,value,-inf,-0.000001,-1.0,range,1.3,true,true,Internal monetary shock sign constraint,,empirical_shape,true,aggregate,,baseline,1,6,Rate hike lowers output gap over first six periods.
lab_rate_hike_employment,lab,monetary_irf,rate_hike,all,rate_hike_mean_employment_delta_6p,validation_metric,value,-inf,0.000001,-0.001,range,0.8,true,false,Internal monetary shock sign constraint,,empirical_shape,true,aggregate,,baseline,1,6,Rate hike does not raise employment on average.
lab_rate_hike_late_inflation,lab,monetary_irf,rate_hike,all,rate_hike_late_inflation_delta,validation_metric,value,-inf,0.05,-0.05,range,1.0,true,true,Internal monetary shock inflation constraint,,empirical_shape,true,aggregate,,baseline,4,8,Rate hike eventually softens inflation.
lab_job_risk_consumption,lab,precaution,job_risk_shock,all,job_risk_impact_consumption_delta,validation_metric,value,-inf,-0.000001,-150.0,range,1.4,true,true,Precautionary saving mechanism,,internal_mechanism,true,aggregate,,baseline,1,1,Job-risk news lowers consumption before income moves.
lab_job_risk_income,lab,precaution,job_risk_shock,all,job_risk_impact_income_delta_abs,validation_metric,value,0.0,0.000001,0.0,range,1.0,true,true,Precautionary saving mechanism,,internal_mechanism,true,aggregate,,baseline,1,1,Income does not move on impact in pure perceived-risk shock.
lab_belief_feedback_amplification,lab,belief_feedback,belief_feedback,all,belief_feedback_amplification_ratio,validation_metric,value,1.05,inf,1.25,range,1.2,true,false,Belief-feedback amplification sanity check,,internal_mechanism,true,aggregate,,baseline,1,20,Belief-feedback branch moves output more than baseline.
lab_belief_dispersion,lab,belief_feedback,baseline,all,belief_inflation_dispersion_p1,validation_metric,value,0.05,inf,0.10,range,0.7,true,false,Belief heterogeneity sanity check,,internal_mechanism,true,aggregate,,baseline,1,1,Period-one cross-cell inflation belief dispersion.
lab_rate_hike_output_shape,lab,monetary_irf,rate_hike,llm_belief,rate_hike_output_negative_share_p1_p8,irf_score_metric,value,0.75,inf,1.0,range,0.7,true,false,IRF shape diagnostic,,empirical_shape,true,aggregate,,baseline,1,8,Rate-hike output response negative in most early periods.
lab_transfer_decay_shape,lab,transfer_behavior,transfer_shock,llm_belief,transfer_consumption_decay_ratio_p4_vs_p1,irf_score_metric,value,0.0,1.0,0.5,range,0.7,true,false,IRF shape diagnostic,,empirical_shape,true,aggregate,,baseline,1,4,Transfer consumption response fades by period four.
oos_weighted_loss,oos,vintage_oos,all,vintage_oos,weighted_normalized_abs_error,vintage_oos_summary_metric,value,0.0,1.0,0.5,lower_is_better,2.0,true,true,Demand-vintage hidden target score,,vintage_oos,true,aggregate,,no_change,,,Weighted normalized absolute error on held-out vintage targets.
